lat,long,l
38.301394,-121.37837,5.241574212
38.312626,-121.37948,6.272087805
38.305046,-121.38141,6.534146341
38.304879,-121.36861,3.39694561
38.296663,-121.37431,4.371793415
38.296695,-121.37936,6.108048
38.291739,-121.38171,5.946524634
38.291829,-121.39134,5.513829268
38.305171,-121.39102,5.661526098
38.309652,-121.37582,6.0383
38.309667,-121.38365,6.735753659
38.296703,-121.381785,3.922170732
38.301007,-121.383722,5.369487805
