lat,long,level
38.30517,-121.391,-1.118052
38.29669,-121.3794,2.70434
38.29174,-121.3817,1.968492
38.30967,-121.3837,0.961124
38.31263,-121.3795,1.57416
38.30505,-121.3814,1.895716
