lat,long,llevel
38.301394,-121.37837,3.347451
38.312626,-121.37948,6.834417805
38.305046,-121.38141,5.956146
38.304879,-121.36861,1.295306
38.296663,-121.37431,3.589363
38.302709,-121.37873,2.54294
38.296695,-121.37936,5.789048
38.291739,-121.38171,5.395775
38.291829,-121.39134,4.935829
38.305171,-121.39102,5.168426
38.309652,-121.37582,4.9218
38.309667,-121.38365,6.400054
38.296703,-121.381785,4.477170732
