lat,long,hlevel
38.301394,-121.37837,5.372701223
38.312626,-121.37948,8.740817805
38.305046,-121.38141,7.955146341
38.304879,-121.36861,3.03082561
38.296663,-121.37431,5.723893415
38.302709,-121.37873,4.48144
38.296695,-121.37936,7.691048
38.291739,-121.38171,7.632794634
38.291829,-121.39134,6.777829268
38.305171,-121.39102,6.925526098
38.309652,-121.37582,6.3689
38.309667,-121.38365,8.467553659
38.296703,-121.381785,5.126170732
