Easting,Northing,Elevation,Code,source,Point_ID
642493.727,4242753.235,9.317,BANKSLOPE,Nichols 2015,760_751_stk59
642492.960,4242753.856,9.479,BANKTOP,Nichols 2015,760_751_stk60
642492.414,4242754.298,9.497,BANKTOP,Nichols 2015,760_751_stk61
642492.145,4242754.762,9.544,BANK,Nichols 2015,760_751_stk62
642491.983,4242754.777,9.546,BANK,Nichols 2015,760_751_stk63
642491.608,4242755.203,9.565,BANK,Nichols 2015,760_751_stk64
642374.319,4242558.397,-0.004,XS17A,Nichols 2015,761
642418.163,4242170.789,-0.004,XS21A,Nichols 2015,762
642417.629,4242171.040,8.112,BANK,Nichols 2015,762_747_stk
642416.679,4242171.556,8.181,BANK,Nichols 2015,762_747_stk1
642416.043,4242171.946,8.484,BANK,Nichols 2015,762_747_stk2
642414.948,4242172.454,8.811,BANK,Nichols 2015,762_747_stk3
642413.702,4242173.148,8.917,BANK,Nichols 2015,762_747_stk4
642412.667,4242173.663,8.914,BANK,Nichols 2015,762_747_stk5
642411.501,4242174.341,8.413,BANK,Nichols 2015,762_747_stk6
642410.206,4242175.005,7.906,BANK,Nichols 2015,762_747_stk7
642409.645,4242175.247,7.482,BANK,Nichols 2015,762_747_stk8
642409.129,4242175.594,7.478,BANK,Nichols 2015,762_747_stk9
642408.357,4242175.985,7.885,BANK,Nichols 2015,762_747_stk10
642407.689,4242176.264,8.172,BANK,Nichols 2015,762_747_stk11
642406.767,4242176.771,7.665,BANK,Nichols 2015,762_747_stk12
642405.980,4242177.217,7.493,BANK,Nichols 2015,762_747_stk13
642404.437,4242177.995,7.342,BANK,Nichols 2015,762_747_stk14
642402.902,4242178.833,7.27,BANK,Nichols 2015,762_747_stk15
642401.290,4242179.681,7.316,BANK,Nichols 2015,762_747_stk16
642399.919,4242180.371,7.23,BANK,Nichols 2015,762_747_stk17
642398.644,4242181.090,7.079,BANK TOP,Nichols 2015,762_747_stk18
642396.451,4242182.206,6.367,BANK TOP,Nichols 2015,762_747_stk19
642395.410,4242182.801,6.275,BANK TOP,Nichols 2015,762_747_stk20
642393.392,4242183.873,6.024,BED,Nichols 2015,762_747_stk21
642392.144,4242184.467,5.835,BED,Nichols 2015,762_747_stk22
642391.138,4242185.058,5.863,BED,Nichols 2015,762_747_stk23
642390.766,4242185.279,6.001,BED,Nichols 2015,762_747_stk24
642390.243,4242185.495,5.821,BED,Nichols 2015,762_747_stk25
642389.983,4242185.655,5.87,BED,Nichols 2015,762_747_stk26
642389.730,4242185.755,5.964,BED,Nichols 2015,762_747_stk27
642389.532,4242185.873,5.978,BED,Nichols 2015,762_747_stk28
