lat,long,h
38.301394,-121.37837,-2.800559935
38.312626,-121.37948,-2.569844
38.305046,-121.38141,-1.965568
38.304879,-121.36861,-3.7118
38.296663,-121.37431,-2.78274
38.296695,-121.37936,-0.426952
38.291739,-121.38171,-0.221032
38.291829,-121.39134,-1.48116
38.305171,-121.39102,-4.613268
38.309652,-121.37582,-1.93688
38.309667,-121.38365,-1.068412
38.296703,-121.381785,-0.029829268
38.301007,-121.383722,1.005072
