lat,long,levelhigh
38.304879,-121.368612,5.208616
38.312626,-121.379477,8.321217805
38.309667,-121.383645,6.992146341
38.309652,-121.375815,1.79800561
38.305171,-121.391021,5.731893415
38.305046,-121.381409,3.03244
38.30139,-121.378366,6.717048
38.296703,-121.381785,7.608344634
38.296695,-121.379361,6.821829268
38.296663,-121.374307,3.696170732
38.291829,-121.391339,5.931926098
38.291739,-121.381709,6.4073
38.302709,-121.378734,8.419553659
