lat,long,h
38.301394,-121.37837,2.680812017
38.312626,-121.37948,-0.769483195
38.305046,-121.38141,2.279146341
38.304879,-121.36861,-2.44438439
38.296663,-121.37431,0.211413415
38.296695,-121.37936,4.045048
38.291739,-121.38171,4.983314634
38.291829,-121.39134,0.242829268
38.305171,-121.39102,-3.961463902
38.309652,-121.37582,0.12662
38.309667,-121.38365,0.037673659
38.296703,-121.381785,1.908170732
38.301007,-121.383722,4.714487805
