lat,long,levellow 
38.304879,-121.368612,-1.9081
38.312626,-121.379477,-0.207944
38.309667,-121.383645,-0.473688
38.309652,-121.375815,-1.28482
38.305171,-121.391021,-4.11782
38.305046,-121.381409,-1.573264
38.30139,-121.378366,-5.0355
38.296703,-121.381785,-0.0208293
38.296695,-121.379361,-0.744952
38.296663,-121.374307,-2.37914
38.291829,-121.391339,-0.75516
38.291739,-121.381709,-0.167676
38.302709,-121.378734,-5.76474
