lat,long,level
38.30517,-121.391,-4.640912
38.29669,-121.3794,-3.216
38.29183,-121.3913,-2.102
38.29174,-121.3817,-0.7569
38.30965,-121.3758,-4.19766
38.30967,-121.3837,-3.652336
38.31263,-121.3795,-4.222836
38.30505,-121.3814,-4.211
38.29666,-121.3743,-3.726252
38.30488,-121.3686,-5.107924
38.30139,-121.3784,-4.73742
38.2967,-121.3818,-3.477
