lat,long,l
38.301394,-121.37837,-3.010803837
38.312626,-121.37948,-1.943944
38.305046,-121.38141,-2.425568
38.304879,-121.36861,-3.8669
38.296663,-121.37431,-2.89134
38.296695,-121.37936,-1.369952
38.291739,-121.38171,-0.481232
38.291829,-121.39134,-1.52816
38.305171,-121.39102,-4.720268
38.309652,-121.37582,-2.43259
38.309667,-121.38365,-0.851512
38.296703,-121.381785,-1.117829268
38.301007,-121.383722,-0.417928
