FID,Id,ORIG_FID,POINT_X,POINT_Y
146,0,0,-121.38461,38.31505199
147,0,0,-121.3844839,38.31514241
148,0,0,-121.384353,38.31516383
149,0,0,-121.3843387,38.31521618
150,0,0,-121.3842626,38.31526377
151,0,0,-121.3842055,38.31526852
152,0,0,-121.3841888,38.3153066
153,0,0,-121.3841531,38.31531373
154,0,0,-121.3840698,38.31533515
155,0,0,-121.384008,38.31538274
156,0,0,-121.3839366,38.31539702
157,0,0,-121.383814,38.31540891
158,0,0,-121.3838247,38.31547316
159,0,0,-121.3818867,38.31639401
160,0,0,-121.3817867,38.31642613
161,0,0,-121.3817368,38.31649395
162,0,0,-121.3816832,38.31649752
163,0,0,-121.3812763,38.3167081
164,0,0,-121.381205,38.31674022
165,0,0,-121.3810586,38.31677948
166,0,0,-121.3809658,38.31682231
167,0,0,-121.3808944,38.31688656
168,0,0,-121.3806089,38.31705431
169,0,0,-121.3800293,38.3175183
170,0,0,-121.3798151,38.31771818
171,0,0,-121.379501,38.31816076
172,0,0,-121.3788871,38.31918869
173,0,0,-121.3782304,38.32035938
174,0,0,-121.3777307,38.32118743
175,0,0,-121.3774166,38.3217014
176,0,0,-121.377331,38.32191555
177,0,0,-121.3772596,38.32205832
178,0,0,-121.3770026,38.32208687
179,0,0,-121.3762174,38.32210115
180,0,0,-121.375632,38.32211542
181,0,0,-121.3752608,38.32210115
182,0,0,-121.3745042,38.3221297
183,0,0,-121.3738617,38.32214398
184,0,0,-121.3730051,38.3221297
185,0,0,-121.3725197,38.3221297
186,0,0,-121.3723341,38.32215825
187,0,0,-121.3720762,38.32219752
188,0,0,-121.3719299,38.3222225
189,0,0,-121.3716836,38.32223678
190,0,0,-121.3714195,38.32227961
191,0,0,-121.3711018,38.32234385
192,0,0,-121.370852,38.32243665
193,0,0,-121.370545,38.32268828
194,0,0,-121.3701524,38.32299523
195,0,0,-121.3694529,38.32350205
196,0,0,-121.3687247,38.32405885
197,0,0,-121.368325,38.32433725
198,0,0,-121.3682393,38.32439673
199,0,0,-121.368118,38.32439435
200,0,0,-121.3680799,38.32445146
201,0,0,-121.3678348,38.32467275
202,0,0,-121.367673,38.32482503
203,0,0,-121.3676397,38.32482503
204,0,0,-121.3675683,38.32491307
205,0,0,-121.3675731,38.32473462
206,0,0,-121.3678348,38.32427062
207,0,0,-121.3678848,38.32413975
208,0,0,-121.367949,38.32401602
209,0,0,-121.3681275,38.32377093
210,0,0,-121.3682917,38.32354013
211,0,0,-121.3684416,38.32337118
212,0,0,-121.368601,38.32317131
213,0,0,-121.3686938,38.32307375
214,0,0,-121.3687914,38.32293574
215,0,0,-121.3688699,38.32280487
216,0,0,-121.3689889,38.32266686
217,0,0,-121.3692173,38.3224194
218,0,0,-121.3693101,38.32229567
219,0,0,-121.3693862,38.32220763
220,0,0,-121.369441,38.32209579
221,0,0,-121.3695005,38.32198634
222,0,0,-121.3696075,38.32185547
223,0,0,-121.369717,38.32176267
224,0,0,-121.3698812,38.32165321
225,0,0,-121.3701167,38.32149855
226,0,0,-121.3703404,38.32136768
227,0,0,-121.3704951,38.32126536
228,0,0,-121.3706259,38.32118922
229,0,0,-121.370752,38.32110832
230,0,0,-121.3708734,38.32102979
231,0,0,-121.3710519,38.32084658
232,0,0,-121.371147,38.32073474
233,0,0,-121.3712041,38.32060625
234,0,0,-121.3712327,38.32053487
235,0,0,-121.3712684,38.32041827
236,0,0,-121.3713072,38.32023672
237,0,0,-121.3713314,38.31993691
238,0,0,-121.3713457,38.31978272
239,0,0,-121.3714242,38.31949005
240,0,0,-121.3715813,38.31921879
241,0,0,-121.3717098,38.31911171
242,0,0,-121.3716884,38.31873338
243,0,0,-121.3716527,38.3185335
244,0,0,-121.3715242,38.31829794
245,0,0,-121.3712958,38.31808378
246,0,0,-121.3711244,38.31785536
247,0,0,-121.3710388,38.31765548
248,0,0,-121.371053,38.31745561
249,0,0,-121.371103,38.31722718
250,0,0,-121.371203,38.31709155
251,0,0,-121.3714528,38.31686312
252,0,0,-121.3716027,38.31669894
253,0,0,-121.3717241,38.31652762
254,0,0,-121.371824,38.3163563
255,0,0,-121.3719739,38.31619211
256,0,0,-121.3720881,38.31610645
257,0,0,-121.3723023,38.31604221
258,0,0,-121.372545,38.31595655
259,0,0,-121.3727092,38.3158923
260,0,0,-121.3728805,38.31579236
261,0,0,-121.3730447,38.31562818
262,0,0,-121.373166,38.31543544
263,0,0,-121.3732802,38.31523557
264,0,0,-121.3733445,38.3151856
265,0,0,-121.3734016,38.31517846
266,0,0,-121.3735443,38.31491434
267,0,0,-121.3735443,38.3148144
268,0,0,-121.3736157,38.31477157
269,0,0,-121.3737799,38.3147573
270,0,0,-121.3740369,38.31469305
271,0,0,-121.3741868,38.31471447
272,0,0,-121.374351,38.31462881
273,0,0,-121.3744723,38.31451459
274,0,0,-121.3745271,38.31442417
275,0,0,-121.374558,38.31435755
276,0,0,-121.3745675,38.31415767
277,0,0,-121.3745294,38.31409581
278,0,0,-121.3745056,38.31406012
279,0,0,-121.3745056,38.31399349
280,0,0,-121.3745033,38.31377934
281,0,0,-121.3745128,38.31361992
282,0,0,-121.3744462,38.31351522
283,0,0,-121.3744581,38.31346525
284,0,0,-121.3744747,38.31344859
285,0,0,-121.3744295,38.31344621
286,0,0,-121.3744105,38.313401
287,0,0,-121.3744771,38.3134129
288,0,0,-121.3744628,38.31338197
289,0,0,-121.3744581,38.31335817
290,0,0,-121.3744152,38.31333676
291,0,0,-121.3744152,38.31328917
292,0,0,-121.374439,38.31321303
293,0,0,-121.374489,38.31321065
294,0,0,-121.3745175,38.3132392
295,0,0,-121.374558,38.31321065
296,0,0,-121.3746056,38.31320351
297,0,0,-121.3745556,38.31317496
298,0,0,-121.3745056,38.3131583
299,0,0,-121.374508,38.31308454
300,0,0,-121.3745294,38.31301315
301,0,0,-121.3746294,38.31301553
302,0,0,-121.3746675,38.31297508
303,0,0,-121.3745794,38.31294415
304,0,0,-121.3746389,38.31284897
305,0,0,-121.3747269,38.3129037
306,0,0,-121.3747698,38.31287038
307,0,0,-121.3747436,38.312799
308,0,0,-121.3748673,38.31273
309,0,0,-121.3749363,38.31273713
310,0,0,-121.3749815,38.31268003
311,0,0,-121.3750077,38.31261816
312,0,0,-121.3749863,38.31256819
